image,flight_key,frame_idx,n_boxes,classes,quality_flag,manifest_quality,review_provenance,occ_deployed_pct
S3_A_hoverpairs_f000000.jpg,S3_A_hoverpairs,0,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000006.jpg,S3_A_hoverpairs,6,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000012.jpg,S3_A_hoverpairs,12,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000018.jpg,S3_A_hoverpairs,18,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000024.jpg,S3_A_hoverpairs,24,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000030.jpg,S3_A_hoverpairs,30,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000036.jpg,S3_A_hoverpairs,36,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000042.jpg,S3_A_hoverpairs,42,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000048.jpg,S3_A_hoverpairs,48,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000054.jpg,S3_A_hoverpairs,54,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000060.jpg,S3_A_hoverpairs,60,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000066.jpg,S3_A_hoverpairs,66,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000072.jpg,S3_A_hoverpairs,72,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000078.jpg,S3_A_hoverpairs,78,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000084.jpg,S3_A_hoverpairs,84,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000090.jpg,S3_A_hoverpairs,90,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000096.jpg,S3_A_hoverpairs,96,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000102.jpg,S3_A_hoverpairs,102,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000108.jpg,S3_A_hoverpairs,108,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000114.jpg,S3_A_hoverpairs,114,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000120.jpg,S3_A_hoverpairs,120,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000126.jpg,S3_A_hoverpairs,126,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000132.jpg,S3_A_hoverpairs,132,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000138.jpg,S3_A_hoverpairs,138,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000144.jpg,S3_A_hoverpairs,144,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000150.jpg,S3_A_hoverpairs,150,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000156.jpg,S3_A_hoverpairs,156,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000162.jpg,S3_A_hoverpairs,162,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000168.jpg,S3_A_hoverpairs,168,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000174.jpg,S3_A_hoverpairs,174,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000180.jpg,S3_A_hoverpairs,180,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000186.jpg,S3_A_hoverpairs,186,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000192.jpg,S3_A_hoverpairs,192,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000198.jpg,S3_A_hoverpairs,198,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000204.jpg,S3_A_hoverpairs,204,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000210.jpg,S3_A_hoverpairs,210,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000216.jpg,S3_A_hoverpairs,216,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000222.jpg,S3_A_hoverpairs,222,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000228.jpg,S3_A_hoverpairs,228,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000234.jpg,S3_A_hoverpairs,234,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000240.jpg,S3_A_hoverpairs,240,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000246.jpg,S3_A_hoverpairs,246,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000252.jpg,S3_A_hoverpairs,252,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000258.jpg,S3_A_hoverpairs,258,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
S3_A_hoverpairs_f000264.jpg,S3_A_hoverpairs,264,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,human_confirmed,
