tag,slice,n,found,recall,recall_any_class
M4_yolov8n_augmented_s123,size:<12,993,67,0.0675,0.0675
M4_yolov8n_augmented_s123,size:12-20,1149,730,0.6353,0.6353
M4_yolov8n_augmented_s123,size:20-32,1748,1638,0.9371,0.9371
M4_yolov8n_augmented_s123,size:32+,277,270,0.9747,0.9747
M4_yolov8n_augmented_s123,occ:OCCLUDED,395,346,0.8759,
M4_yolov8n_augmented_s123,occ:LIGHT,47,34,0.7234,
M4_yolov8n_augmented_s123,occ:BYPASSED,239,237,0.9916,
M4_yolov8n_augmented_s123,occ:AMBIGUOUS,500,439,0.8780,
M4_yolov8n_augmented_s123,class:rc_car,2329,1716,0.7368,
M4_yolov8n_augmented_s123,class:atv_sherp,927,497,0.5361,
M4_yolov8n_augmented_s123,class:truck_peterbilt,911,492,0.5401,
M4_yolov8n_augmented_s123,pred_budget,2659,3575,1.3445,0.25
M4_yolov8n_augmented_s123,halluc_fullyocc,159,1,0.0063,0.25
M4_yolov8n_augmented_s123_tiled2,size:<12,993,109,0.1098,0.1098
M4_yolov8n_augmented_s123_tiled2,size:12-20,1149,774,0.6736,0.6736
M4_yolov8n_augmented_s123_tiled2,size:20-32,1748,1612,0.9222,0.9222
M4_yolov8n_augmented_s123_tiled2,size:32+,277,262,0.9458,0.9458
M4_yolov8n_augmented_s123_tiled2,pred_budget,2659,3375,1.2693,0.25
M4_yolov8n_augmented_s123_tiled2,halluc_fullyocc,159,3,0.0189,0.25
