epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,148.573,1.25883,2.82389,0.98133,0.83377,0.87489,0.89847,0.53196,1.51201,1.10801,1.11603,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512
2,275.362,1.11806,0.71926,0.95106,0.85165,0.89667,0.92112,0.57361,1.34739,0.88724,1.07348,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254
3,401.93,1.15693,0.66534,0.97341,0.88055,0.86986,0.89808,0.51175,1.52759,0.79694,1.17778,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395
4,526.572,1.09578,0.59196,0.97029,0.8932,0.87861,0.92806,0.6037,1.331,0.67776,1.10197,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,651.935,1.03291,0.54444,0.95699,0.85423,0.84751,0.896,0.57547,1.3474,0.76402,1.09812,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,778.825,0.99287,0.51749,0.94562,0.8645,0.86708,0.8979,0.56936,1.39447,0.70611,1.11097,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,911.803,0.958,0.49352,0.935,0.91635,0.83411,0.89763,0.56461,1.41067,0.70536,1.1258,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1041.23,0.93487,0.47677,0.92801,0.91776,0.79622,0.8888,0.57211,1.36994,0.75502,1.12281,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1308.86,0.90215,0.45725,0.9199,0.88103,0.85426,0.89326,0.58668,1.33807,0.66056,1.10028,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1502.76,0.89492,0.45228,0.91722,0.90533,0.83219,0.89078,0.56269,1.45522,0.66763,1.13975,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1705.99,0.87432,0.43884,0.91143,0.88868,0.85749,0.91604,0.62796,1.22669,0.62008,1.06322,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1831.85,0.87267,0.43494,0.91189,0.91652,0.83284,0.88699,0.60313,1.25763,0.7261,1.10139,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1957.02,0.85604,0.42837,0.91006,0.89298,0.8847,0.92361,0.62634,1.19314,0.60709,1.04956,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2082.03,0.84824,0.42073,0.91171,0.86703,0.86578,0.89586,0.60977,1.25884,0.68256,1.09792,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2207.54,0.83257,0.4148,0.90706,0.88336,0.85851,0.89483,0.61026,1.27107,0.6744,1.07608,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2332.58,0.83222,0.40843,0.90337,0.88428,0.81663,0.8806,0.60592,1.23238,0.62427,1.07083,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2456.91,0.82227,0.4055,0.90101,0.87309,0.86429,0.90753,0.61535,1.25367,0.60437,1.07734,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2581.49,0.81089,0.40153,0.89955,0.87802,0.87946,0.91006,0.58877,1.28995,0.60828,1.09091,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2706.77,0.80589,0.39802,0.89663,0.90588,0.81493,0.90647,0.62036,1.20937,0.64148,1.05034,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2832.11,0.80134,0.39264,0.89525,0.89096,0.85003,0.88453,0.61637,1.20857,0.63441,1.06436,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2957.63,0.79846,0.39116,0.89331,0.86213,0.89161,0.91031,0.62628,1.16767,0.59706,1.03515,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3083.2,0.78352,0.38292,0.89132,0.9067,0.81152,0.89933,0.62048,1.2037,0.64938,1.06543,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3210.43,0.78176,0.38306,0.88813,0.83746,0.89348,0.91212,0.63752,1.14277,0.61209,1.02819,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3448.94,0.77329,0.37657,0.88633,0.89153,0.84429,0.90937,0.63255,1.15783,0.57994,1.03565,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3645.56,0.76157,0.37275,0.88508,0.90839,0.81208,0.86989,0.59084,1.32239,0.64681,1.12651,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3912.48,0.76758,0.37171,0.88802,0.94357,0.75411,0.87905,0.61278,1.29676,0.64262,1.12362,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4037.49,0.76324,0.37146,0.88629,0.92218,0.8544,0.92203,0.63717,1.15459,0.56189,1.04253,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4162.9,0.7608,0.37053,0.88309,0.87679,0.86636,0.91085,0.62861,1.17855,0.5871,1.04687,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4288.67,0.75841,0.3691,0.883,0.88138,0.89042,0.92172,0.63623,1.14787,0.54922,1.04291,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4414.8,0.74613,0.36034,0.88084,0.89728,0.84903,0.92417,0.64343,1.14504,0.53943,1.04827,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4540.95,0.74522,0.36076,0.88268,0.85593,0.89002,0.91549,0.64135,1.15213,0.55862,1.03797,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4678.59,0.74564,0.35963,0.88437,0.8799,0.85554,0.90485,0.63086,1.17825,0.56457,1.05289,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4810.64,0.73506,0.35333,0.87641,0.84553,0.90519,0.91907,0.64131,1.14736,0.57946,1.03553,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4953.52,0.73845,0.35557,0.87809,0.88439,0.86964,0.92445,0.64352,1.10162,0.54274,1.01674,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5079.96,0.73848,0.35807,0.8825,0.87446,0.88648,0.92179,0.64298,1.13772,0.54004,1.05405,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5205.76,0.73486,0.35293,0.88008,0.87536,0.8932,0.92392,0.64427,1.11816,0.54112,1.01584,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
