tag,slice,n,found,recall,recall_any_class
M4_yolov8n_augmented_s42,size:<12,993,52,0.0524,0.0544
M4_yolov8n_augmented_s42,size:12-20,1149,738,0.6423,0.6440
M4_yolov8n_augmented_s42,size:20-32,1748,1638,0.9371,0.9376
M4_yolov8n_augmented_s42,size:32+,277,270,0.9747,0.9747
M4_yolov8n_augmented_s42,occ:OCCLUDED,395,329,0.8329,
M4_yolov8n_augmented_s42,occ:LIGHT,47,34,0.7234,
M4_yolov8n_augmented_s42,occ:BYPASSED,239,237,0.9916,
M4_yolov8n_augmented_s42,occ:AMBIGUOUS,500,430,0.8600,
M4_yolov8n_augmented_s42,class:rc_car,2329,1712,0.7351,
M4_yolov8n_augmented_s42,class:atv_sherp,927,509,0.5491,
M4_yolov8n_augmented_s42,class:truck_peterbilt,911,477,0.5236,
M4_yolov8n_augmented_s42,pred_budget,2659,3523,1.3249,0.25
M4_yolov8n_augmented_s42,halluc_fullyocc,159,4,0.0252,0.25
M4_yolov8n_augmented_s42_tiled2,size:<12,993,83,0.0836,0.0836
M4_yolov8n_augmented_s42_tiled2,size:12-20,1149,664,0.5779,0.5779
M4_yolov8n_augmented_s42_tiled2,size:20-32,1748,1619,0.9262,0.9262
M4_yolov8n_augmented_s42_tiled2,size:32+,277,261,0.9422,0.9422
M4_yolov8n_augmented_s42_tiled2,pred_budget,2659,3240,1.2185,0.25
M4_yolov8n_augmented_s42_tiled2,halluc_fullyocc,159,6,0.0377,0.25
