tag,slice,n,found,recall,recall_any_class
M4_yolov8n-p2_augmented_s42,size:<12,993,87,0.0876,0.0886
M4_yolov8n-p2_augmented_s42,size:12-20,1149,749,0.6519,0.6536
M4_yolov8n-p2_augmented_s42,size:20-32,1748,1627,0.9308,0.9319
M4_yolov8n-p2_augmented_s42,size:32+,277,269,0.9711,0.9711
M4_yolov8n-p2_augmented_s42,occ:OCCLUDED,395,356,0.9013,
M4_yolov8n-p2_augmented_s42,occ:LIGHT,47,35,0.7447,
M4_yolov8n-p2_augmented_s42,occ:BYPASSED,239,238,0.9958,
M4_yolov8n-p2_augmented_s42,occ:AMBIGUOUS,500,437,0.8740,
M4_yolov8n-p2_augmented_s42,class:rc_car,2329,1705,0.7321,
M4_yolov8n-p2_augmented_s42,class:atv_sherp,927,551,0.5944,
M4_yolov8n-p2_augmented_s42,class:truck_peterbilt,911,476,0.5225,
M4_yolov8n-p2_augmented_s42,pred_budget,2659,3279,1.2332,0.25
M4_yolov8n-p2_augmented_s42,halluc_fullyocc,159,5,0.0314,0.25
M4_yolov8n-p2_augmented_s42_tiled2,size:<12,993,123,0.1239,0.1239
M4_yolov8n-p2_augmented_s42_tiled2,size:12-20,1149,781,0.6797,0.6797
M4_yolov8n-p2_augmented_s42_tiled2,size:20-32,1748,1629,0.9319,0.9319
M4_yolov8n-p2_augmented_s42_tiled2,size:32+,277,260,0.9386,0.9386
M4_yolov8n-p2_augmented_s42_tiled2,pred_budget,2659,3269,1.2294,0.25
M4_yolov8n-p2_augmented_s42_tiled2,halluc_fullyocc,159,19,0.1195,0.25
