epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,143.206,1.09531,2.58021,0.98397,0.82162,0.85533,0.90377,0.60968,1.24596,1.10068,1.08896,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512
2,270.673,0.98552,0.65173,0.94951,0.90097,0.85517,0.9147,0.5949,1.25857,0.76769,1.06864,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254
3,397.417,1.01674,0.57822,0.96777,0.88376,0.82493,0.89691,0.58314,1.29697,0.76077,1.10215,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395
4,521.998,0.95795,0.51867,0.94833,0.87798,0.79559,0.82961,0.54822,1.48275,0.78956,1.21641,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,647.162,0.89732,0.47439,0.93108,0.8996,0.83402,0.88928,0.60482,1.26823,0.71055,1.0934,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,772.567,0.86279,0.4496,0.92422,0.85703,0.88513,0.91808,0.62248,1.24025,0.63954,1.06069,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,897.842,0.84347,0.43263,0.91689,0.92304,0.8051,0.88322,0.59574,1.32107,0.6639,1.16867,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1022.58,0.82355,0.42138,0.91599,0.88204,0.86359,0.90739,0.62253,1.19668,0.64582,1.05648,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1147.98,0.80871,0.41169,0.91058,0.8907,0.86481,0.88431,0.60171,1.27802,0.65031,1.12683,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1273.33,0.78969,0.40123,0.89855,0.90299,0.85671,0.90042,0.62081,1.25772,0.62336,1.11614,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1398.45,0.78535,0.39506,0.8972,0.87564,0.87837,0.91818,0.63817,1.20832,0.60626,1.06108,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1523.79,0.77535,0.39001,0.8962,0.86081,0.87764,0.90852,0.63172,1.17461,0.59077,1.05117,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1648.78,0.75779,0.38032,0.89193,0.87382,0.857,0.88413,0.61615,1.27576,0.60531,1.14135,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1774.6,0.75533,0.37515,0.88924,0.89425,0.86397,0.91265,0.63121,1.19645,0.58748,1.06215,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1899.01,0.7518,0.37402,0.88828,0.87889,0.87332,0.90864,0.6358,1.15998,0.60006,1.0539,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2025.25,0.73585,0.36381,0.88639,0.91116,0.87743,0.916,0.63772,1.15334,0.54456,1.03209,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2150.76,0.7418,0.36863,0.88556,0.87142,0.88819,0.91065,0.62444,1.19099,0.55778,1.06969,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2277.64,0.73206,0.36002,0.88393,0.8797,0.89522,0.9261,0.6502,1.16179,0.58469,1.04825,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2404.99,0.72544,0.35592,0.88196,0.927,0.82808,0.89291,0.62278,1.24741,0.59465,1.09897,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
