tag,slice,n,found,recall,recall_any_class
M4_yolov8n_baseline_s123,size:<12,993,70,0.0705,0.0715
M4_yolov8n_baseline_s123,size:12-20,1149,690,0.6005,0.6005
M4_yolov8n_baseline_s123,size:20-32,1748,1634,0.9348,0.9348
M4_yolov8n_baseline_s123,size:32+,277,269,0.9711,0.9711
M4_yolov8n_baseline_s123,occ:OCCLUDED,395,329,0.8329,
M4_yolov8n_baseline_s123,occ:LIGHT,47,40,0.8511,
M4_yolov8n_baseline_s123,occ:BYPASSED,239,237,0.9916,
M4_yolov8n_baseline_s123,occ:AMBIGUOUS,500,429,0.8580,
M4_yolov8n_baseline_s123,class:rc_car,2329,1630,0.6999,
M4_yolov8n_baseline_s123,class:atv_sherp,927,523,0.5642,
M4_yolov8n_baseline_s123,class:truck_peterbilt,911,510,0.5598,
M4_yolov8n_baseline_s123,pred_budget,2659,3421,1.2866,0.25
M4_yolov8n_baseline_s123,halluc_fullyocc,159,24,0.1509,0.25
M4_yolov8n_baseline_s123_tiled2,size:<12,993,63,0.0634,0.0634
M4_yolov8n_baseline_s123_tiled2,size:12-20,1149,662,0.5762,0.5762
M4_yolov8n_baseline_s123_tiled2,size:20-32,1748,1562,0.8936,0.8936
M4_yolov8n_baseline_s123_tiled2,size:32+,277,258,0.9314,0.9314
M4_yolov8n_baseline_s123_tiled2,pred_budget,2659,3049,1.1467,0.25
M4_yolov8n_baseline_s123_tiled2,halluc_fullyocc,159,7,0.0440,0.25
