tag,slice,n,found,recall,recall_any_class
M4_yolov8n_baseline_s456,size:<12,993,59,0.0594,0.0594
M4_yolov8n_baseline_s456,size:12-20,1149,677,0.5892,0.5892
M4_yolov8n_baseline_s456,size:20-32,1748,1583,0.9056,0.9056
M4_yolov8n_baseline_s456,size:32+,277,268,0.9675,0.9675
M4_yolov8n_baseline_s456,occ:OCCLUDED,395,350,0.8861,
M4_yolov8n_baseline_s456,occ:LIGHT,47,36,0.7660,
M4_yolov8n_baseline_s456,occ:BYPASSED,239,236,0.9874,
M4_yolov8n_baseline_s456,occ:AMBIGUOUS,500,431,0.8620,
M4_yolov8n_baseline_s456,class:rc_car,2329,1593,0.6840,
M4_yolov8n_baseline_s456,class:atv_sherp,927,517,0.5577,
M4_yolov8n_baseline_s456,class:truck_peterbilt,911,477,0.5236,
M4_yolov8n_baseline_s456,pred_budget,2659,3154,1.1862,0.25
M4_yolov8n_baseline_s456,halluc_fullyocc,159,12,0.0755,0.25
M4_yolov8n_baseline_s456_tiled2,size:<12,993,94,0.0947,0.0947
M4_yolov8n_baseline_s456_tiled2,size:12-20,1149,679,0.5909,0.5909
M4_yolov8n_baseline_s456_tiled2,size:20-32,1748,1593,0.9113,0.9113
M4_yolov8n_baseline_s456_tiled2,size:32+,277,256,0.9242,0.9242
M4_yolov8n_baseline_s456_tiled2,pred_budget,2659,3109,1.1692,0.25
M4_yolov8n_baseline_s456_tiled2,halluc_fullyocc,159,7,0.0440,0.25
