tag,slice,n,found,recall,recall_any_class
M_fasterrcnn_baseline_s123,size:<12,993,72,0.0725,0.0745
M_fasterrcnn_baseline_s123,size:12-20,1150,784,0.6817,0.6843
M_fasterrcnn_baseline_s123,size:20-32,1747,1608,0.9204,0.9204
M_fasterrcnn_baseline_s123,size:32+,277,271,0.9783,0.9783
M_fasterrcnn_baseline_s123,occ:OCCLUDED,395,311,0.7873,
M_fasterrcnn_baseline_s123,occ:LIGHT,47,39,0.8298,
M_fasterrcnn_baseline_s123,occ:BYPASSED,239,238,0.9958,
M_fasterrcnn_baseline_s123,occ:AMBIGUOUS,500,421,0.8420,
M_fasterrcnn_baseline_s123,class:rc_car,2329,1557,0.6685,
M_fasterrcnn_baseline_s123,class:atv_sherp,927,524,0.5653,
M_fasterrcnn_baseline_s123,class:truck_peterbilt,911,654,0.7179,
M_fasterrcnn_baseline_s123,pred_budget,2659,4053,1.5243,0.25
M_fasterrcnn_baseline_s123,halluc_fullyocc,159,70,0.4403,0.25
M_fasterrcnn_baseline_s42,size:<12,993,149,0.1501,0.1551
M_fasterrcnn_baseline_s42,size:12-20,1150,840,0.7304,0.7400
M_fasterrcnn_baseline_s42,size:20-32,1747,1629,0.9325,0.9325
M_fasterrcnn_baseline_s42,size:32+,277,268,0.9675,0.9675
M_fasterrcnn_baseline_s42,occ:OCCLUDED,395,332,0.8405,
M_fasterrcnn_baseline_s42,occ:LIGHT,47,31,0.6596,
M_fasterrcnn_baseline_s42,occ:BYPASSED,239,237,0.9916,
M_fasterrcnn_baseline_s42,occ:AMBIGUOUS,500,429,0.8580,
M_fasterrcnn_baseline_s42,class:rc_car,2329,1628,0.6990,
M_fasterrcnn_baseline_s42,class:atv_sherp,927,567,0.6117,
M_fasterrcnn_baseline_s42,class:truck_peterbilt,911,691,0.7585,
M_fasterrcnn_baseline_s42,pred_budget,2659,4582,1.7232,0.25
M_fasterrcnn_baseline_s42,halluc_fullyocc,159,136,0.8553,0.25
M_fasterrcnn_baseline_s456,size:<12,993,86,0.0866,0.0866
M_fasterrcnn_baseline_s456,size:12-20,1150,812,0.7061,0.7113
M_fasterrcnn_baseline_s456,size:20-32,1747,1621,0.9279,0.9279
M_fasterrcnn_baseline_s456,size:32+,277,271,0.9783,0.9783
M_fasterrcnn_baseline_s456,occ:OCCLUDED,395,314,0.7949,
M_fasterrcnn_baseline_s456,occ:LIGHT,47,39,0.8298,
M_fasterrcnn_baseline_s456,occ:BYPASSED,239,236,0.9874,
M_fasterrcnn_baseline_s456,occ:AMBIGUOUS,500,424,0.8480,
M_fasterrcnn_baseline_s456,class:rc_car,2329,1578,0.6775,
M_fasterrcnn_baseline_s456,class:atv_sherp,927,534,0.5761,
M_fasterrcnn_baseline_s456,class:truck_peterbilt,911,678,0.7442,
M_fasterrcnn_baseline_s456,pred_budget,2659,4329,1.6281,0.25
M_fasterrcnn_baseline_s456,halluc_fullyocc,159,123,0.7736,0.25
M_rtdetr-l_baseline_s42,size:<12,993,107,0.1078,0.1078
M_rtdetr-l_baseline_s42,size:12-20,1149,763,0.6641,0.6641
M_rtdetr-l_baseline_s42,size:20-32,1748,1602,0.9165,0.9273
M_rtdetr-l_baseline_s42,size:32+,277,270,0.9747,0.9747
M_rtdetr-l_baseline_s42,occ:OCCLUDED,395,363,0.9190,
M_rtdetr-l_baseline_s42,occ:LIGHT,47,39,0.8298,
M_rtdetr-l_baseline_s42,occ:BYPASSED,239,239,1.0000,
M_rtdetr-l_baseline_s42,occ:AMBIGUOUS,500,433,0.8660,
M_rtdetr-l_baseline_s42,class:rc_car,2329,1648,0.7076,
M_rtdetr-l_baseline_s42,class:atv_sherp,927,539,0.5814,
M_rtdetr-l_baseline_s42,class:truck_peterbilt,911,555,0.6092,
M_rtdetr-l_baseline_s42,pred_budget,2659,10768,4.0496,0.25
M_rtdetr-l_baseline_s42,halluc_fullyocc,159,30,0.1887,0.25
M_rtdetr-l_baseline_s456,size:<12,993,96,0.0967,0.0967
M_rtdetr-l_baseline_s456,size:12-20,1149,776,0.6754,0.6762
M_rtdetr-l_baseline_s456,size:20-32,1748,1635,0.9354,0.9365
M_rtdetr-l_baseline_s456,size:32+,277,270,0.9747,0.9747
M_rtdetr-l_baseline_s456,occ:OCCLUDED,395,360,0.9114,
M_rtdetr-l_baseline_s456,occ:LIGHT,47,38,0.8085,
M_rtdetr-l_baseline_s456,occ:BYPASSED,239,238,0.9958,
M_rtdetr-l_baseline_s456,occ:AMBIGUOUS,500,430,0.8600,
M_rtdetr-l_baseline_s456,class:rc_car,2329,1655,0.7106,
M_rtdetr-l_baseline_s456,class:atv_sherp,927,552,0.5955,
M_rtdetr-l_baseline_s456,class:truck_peterbilt,911,570,0.6257,
M_rtdetr-l_baseline_s456,pred_budget,2659,14009,5.2685,0.25
M_rtdetr-l_baseline_s456,halluc_fullyocc,159,16,0.1006,0.25
