tag,slice,n,found,recall,recall_any_class
M4_yolov8n-p2_augmented_s123,size:<12,993,91,0.0916,0.0926
M4_yolov8n-p2_augmented_s123,size:12-20,1149,772,0.6719,0.6728
M4_yolov8n-p2_augmented_s123,size:20-32,1748,1638,0.9371,0.9371
M4_yolov8n-p2_augmented_s123,size:32+,277,271,0.9783,0.9783
M4_yolov8n-p2_augmented_s123,occ:OCCLUDED,395,357,0.9038,
M4_yolov8n-p2_augmented_s123,occ:LIGHT,47,35,0.7447,
M4_yolov8n-p2_augmented_s123,occ:BYPASSED,239,237,0.9916,
M4_yolov8n-p2_augmented_s123,occ:AMBIGUOUS,500,437,0.8740,
M4_yolov8n-p2_augmented_s123,class:rc_car,2329,1704,0.7316,
M4_yolov8n-p2_augmented_s123,class:atv_sherp,927,565,0.6095,
M4_yolov8n-p2_augmented_s123,class:truck_peterbilt,911,503,0.5521,
M4_yolov8n-p2_augmented_s123,pred_budget,2659,3399,1.2783,0.25
M4_yolov8n-p2_augmented_s123,halluc_fullyocc,159,19,0.1195,0.25
M4_yolov8n-p2_augmented_s123_tiled2,size:<12,993,108,0.1088,0.1088
M4_yolov8n-p2_augmented_s123_tiled2,size:12-20,1149,754,0.6562,0.6562
M4_yolov8n-p2_augmented_s123_tiled2,size:20-32,1748,1626,0.9302,0.9302
M4_yolov8n-p2_augmented_s123_tiled2,size:32+,277,262,0.9458,0.9458
M4_yolov8n-p2_augmented_s123_tiled2,pred_budget,2659,3388,1.2742,0.25
M4_yolov8n-p2_augmented_s123_tiled2,halluc_fullyocc,159,15,0.0943,0.25
M4_yolov8n-p2_augmented_s42,size:<12,993,87,0.0876,0.0886
M4_yolov8n-p2_augmented_s42,size:12-20,1149,749,0.6519,0.6536
M4_yolov8n-p2_augmented_s42,size:20-32,1748,1627,0.9308,0.9319
M4_yolov8n-p2_augmented_s42,size:32+,277,269,0.9711,0.9711
M4_yolov8n-p2_augmented_s42,occ:OCCLUDED,395,356,0.9013,
M4_yolov8n-p2_augmented_s42,occ:LIGHT,47,35,0.7447,
M4_yolov8n-p2_augmented_s42,occ:BYPASSED,239,238,0.9958,
M4_yolov8n-p2_augmented_s42,occ:AMBIGUOUS,500,437,0.8740,
M4_yolov8n-p2_augmented_s42,class:rc_car,2329,1705,0.7321,
M4_yolov8n-p2_augmented_s42,class:atv_sherp,927,551,0.5944,
M4_yolov8n-p2_augmented_s42,class:truck_peterbilt,911,476,0.5225,
M4_yolov8n-p2_augmented_s42,pred_budget,2659,3279,1.2332,0.25
M4_yolov8n-p2_augmented_s42,halluc_fullyocc,159,5,0.0314,0.25
M4_yolov8n-p2_augmented_s42_tiled2,size:<12,993,123,0.1239,0.1239
M4_yolov8n-p2_augmented_s42_tiled2,size:12-20,1149,781,0.6797,0.6797
M4_yolov8n-p2_augmented_s42_tiled2,size:20-32,1748,1629,0.9319,0.9319
M4_yolov8n-p2_augmented_s42_tiled2,size:32+,277,260,0.9386,0.9386
M4_yolov8n-p2_augmented_s42_tiled2,pred_budget,2659,3269,1.2294,0.25
M4_yolov8n-p2_augmented_s42_tiled2,halluc_fullyocc,159,19,0.1195,0.25
M4_yolov8n-p2_augmented_s456,size:<12,993,89,0.0896,0.0896
M4_yolov8n-p2_augmented_s456,size:12-20,1149,749,0.6519,0.6527
M4_yolov8n-p2_augmented_s456,size:20-32,1748,1587,0.9079,0.9079
M4_yolov8n-p2_augmented_s456,size:32+,277,266,0.9603,0.9603
M4_yolov8n-p2_augmented_s456,occ:OCCLUDED,395,339,0.8582,
