image,flight_key,stem,role,frame_idx,t_rel,tof_cm,height_cm,height_src,yaw_deg,pitch_deg,roll_deg,battery_pct,capture_class,aruco_px,gsd_at_mat_mm_px,is_anchor,segment,occ_strip_mm,occ_deployed_pct,occ_realised_pct,usable,has_car,sharpness,green_frac,quality
S4_hoverpairs_a_f000000.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,0,0.272,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,126.3,0.0000,ok
S4_hoverpairs_a_f000001.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,1,0.313,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,134.7,0.0000,ok
S4_hoverpairs_a_f000002.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,2,0.334,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,135.8,0.0000,ok
S4_hoverpairs_a_f000003.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,3,0.515,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,136.2,0.0000,ok
S4_hoverpairs_a_f000004.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,4,0.535,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,137.0,0.0000,ok
S4_hoverpairs_a_f000005.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,5,0.546,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,138.5,0.0000,ok
S4_hoverpairs_a_f000006.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,6,0.563,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,138.7,0.0000,ok
S4_hoverpairs_a_f000007.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,7,0.610,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,138.7,0.0000,ok
S4_hoverpairs_a_f000008.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,8,0.722,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,138.8,0.0000,ok
S4_hoverpairs_a_f000009.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,9,0.738,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,138.9,0.0000,ok
S4_hoverpairs_a_f000010.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,10,0.838,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,125.5,0.0000,ok
S4_hoverpairs_a_f000011.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,11,0.850,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,128.3,0.0000,ok
S4_hoverpairs_a_f000012.jpg,S4_hoverpairs_a,S4_park_hoverpairs_20260818_175035,S4_hoverpairs_a,12,0.949,10,0,tof,-5,0,0,82,benchmark,,,0,transitional,,,,1,,129.1,0.0000,ok
