tag,slice,n,found,recall,recall_any_class
M4_yolov8s_augmented_s456,size:<12,993,78,0.0785,0.0806
M4_yolov8s_augmented_s456,size:12-20,1149,719,0.6258,0.6258
M4_yolov8s_augmented_s456,size:20-32,1748,1623,0.9285,0.9285
M4_yolov8s_augmented_s456,size:32+,277,264,0.9531,0.9531
M4_yolov8s_augmented_s456,occ:OCCLUDED,395,362,0.9165,
M4_yolov8s_augmented_s456,occ:LIGHT,47,31,0.6596,
M4_yolov8s_augmented_s456,occ:BYPASSED,239,237,0.9916,
M4_yolov8s_augmented_s456,occ:AMBIGUOUS,500,419,0.8380,
M4_yolov8s_augmented_s456,class:rc_car,2329,1674,0.7188,
M4_yolov8s_augmented_s456,class:atv_sherp,927,525,0.5663,
M4_yolov8s_augmented_s456,class:truck_peterbilt,911,485,0.5324,
M4_yolov8s_augmented_s456,pred_budget,2659,3188,1.1989,0.25
M4_yolov8s_augmented_s456,halluc_fullyocc,159,10,0.0629,0.25
M4_yolov8s_augmented_s456_tiled2,size:<12,993,91,0.0916,0.0916
M4_yolov8s_augmented_s456_tiled2,size:12-20,1149,723,0.6292,0.6292
M4_yolov8s_augmented_s456_tiled2,size:20-32,1748,1614,0.9233,0.9233
M4_yolov8s_augmented_s456_tiled2,size:32+,277,265,0.9567,0.9567
M4_yolov8s_augmented_s456_tiled2,pred_budget,2659,3139,1.1805,0.25
M4_yolov8s_augmented_s456_tiled2,halluc_fullyocc,159,7,0.0440,0.25
