epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,223.832,1.24084,2.36543,0.97709,0.92231,0.80743,0.90865,0.5477,1.42148,0.77328,1.07258,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512,0.00997537,0.00332512
2,435.468,1.06363,0.58744,0.92217,0.92386,0.85619,0.93277,0.61265,1.23309,0.72605,1.03912,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254,0.0197776,0.00659254
3,644.409,1.11996,0.63012,0.95534,0.89246,0.85524,0.90949,0.53507,1.411,0.89926,1.12858,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395,0.0293819,0.00979395
4,854.713,1.06865,0.57358,0.95563,0.89774,0.8536,0.91636,0.56911,1.38142,0.72155,1.10531,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1066.63,1.00497,0.52226,0.94258,0.91257,0.833,0.88294,0.5659,1.42435,0.73022,1.15651,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1280.39,0.96224,0.49588,0.9333,0.89888,0.83247,0.88429,0.57017,1.41707,0.69867,1.14566,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1627.29,0.92274,0.4711,0.92463,0.94748,0.77443,0.89695,0.58376,1.37932,0.69618,1.13186,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1938.3,0.90052,0.45465,0.91708,0.86525,0.88154,0.91878,0.60294,1.2861,0.62497,1.08755,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2153.53,0.87187,0.43838,0.90929,0.88128,0.83357,0.86956,0.59117,1.30816,0.68823,1.10047,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2366.16,0.85799,0.42875,0.90698,0.89172,0.88503,0.91749,0.6162,1.2575,0.60953,1.06627,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2578.87,0.8374,0.41999,0.90296,0.89663,0.87864,0.91642,0.62256,1.22354,0.62156,1.06119,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2789.56,0.83727,0.41471,0.90329,0.87551,0.86243,0.90428,0.62185,1.20639,0.61354,1.06432,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2998.9,0.82007,0.40838,0.89878,0.90776,0.86274,0.90897,0.62895,1.20542,0.59886,1.07531,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
