image,flight_key,stem,role,frame_idx,t_rel,tof_cm,height_cm,yaw_deg,pitch_deg,roll_deg,battery_pct,aruco_px,gsd_at_mat_mm_px,is_anchor,segment,occ_strip_mm,occ_deployed_pct,occ_realised_pct,usable,has_car,sharpness,quality_tier,occ_realised_match_dist,occ_realised_ref_image,occ_realised_band,fully_occluded
S2_A_hoverpairs_f000000.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,0,0.373,10,0,0,0,-1,100,,,0,transitional,,,,0,1,181.0,soft_moderate,,,not_applicable,0
S2_A_hoverpairs_f000008.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,8,0.615,10,0,0,0,-1,100,,,0,transitional,,,,0,1,190.2,sharp,,,not_applicable,0
S2_A_hoverpairs_f000016.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,16,0.835,10,0,0,0,-1,100,,,0,transitional,,,,0,1,197.1,sharp,,,not_applicable,0
S2_A_hoverpairs_f000024.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,24,1.074,10,0,0,0,-1,100,,,0,transitional,,,,0,1,197.7,sharp,,,not_applicable,0
S2_A_hoverpairs_f000032.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,32,1.310,10,0,0,0,-1,100,,,0,transitional,,,,0,1,199.4,sharp,,,not_applicable,0
S2_A_hoverpairs_f000040.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,40,1.645,10,0,0,0,-1,100,,,0,transitional,,,,0,1,193.6,sharp,,,not_applicable,0
S2_A_hoverpairs_f000048.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,48,1.917,10,0,0,0,-1,100,,,0,transitional,,,,0,1,199.9,sharp,,,not_applicable,0
S2_A_hoverpairs_f000056.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,56,2.190,10,0,0,0,-1,100,,,0,transitional,,,,0,1,200.1,sharp,,,not_applicable,0
S2_A_hoverpairs_f000064.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,64,2.635,10,0,0,0,-1,100,,,0,transitional,,,,0,1,184.2,sharp,,,not_applicable,0
S2_A_hoverpairs_f000072.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,72,2.954,10,0,0,0,-1,100,,,0,transitional,,,,0,1,196.3,sharp,,,not_applicable,0
S2_A_hoverpairs_f000080.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,80,3.227,10,0,0,0,-1,100,,,0,transitional,,,,0,1,198.4,sharp,,,not_applicable,0
S2_A_hoverpairs_f000088.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,88,4.141,10,0,0,0,-1,100,,,0,transitional,,,,0,1,193.1,sharp,,,not_applicable,0
S2_A_hoverpairs_f000120.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,120,7.969,10,0,0,0,-1,100,,,0,transitional,,,,0,1,197.0,sharp,,,not_applicable,0
S2_A_hoverpairs_f000128.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,128,8.141,10,0,0,0,-1,100,,,0,transitional,,,,0,1,199.0,sharp,,,not_applicable,0
S2_A_hoverpairs_f000136.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,136,8.287,10,0,0,0,-1,100,,,0,transitional,,,,0,1,200.2,sharp,,,not_applicable,0
S2_A_hoverpairs_f000144.jpg,S2_A_hoverpairs,S2_futsal_hoverpairs_20260808_084337,S2_A_hoverpairs,144,8.560,10,0,0,0,-1,100,,,0,transitional,,,,0,1,190.2,sharp,,,not_applicable,0
