t_rel,lr,fb,ud,yaw,height_cm,yaw_deg
0.127,0,0,0,0,0,0
0.155,0,0,0,0,0,0
0.164,0,0,0,0,0,0
0.172,0,0,0,0,0,0
0.189,0,0,0,0,0,0
0.213,0,0,0,0,0,0
0.229,0,0,0,0,0,0
0.245,0,0,0,0,0,0
0.261,0,0,0,0,0,0
0.277,0,0,0,0,0,0
0.293,0,0,0,0,0,0
0.309,0,0,0,0,0,0
0.325,0,0,0,0,0,0
0.340,0,0,0,0,0,0
0.356,0,0,0,0,0,0
0.372,0,0,0,0,0,0
0.388,0,0,0,0,0,0
0.403,0,0,0,0,0,0
0.419,0,0,0,0,0,0
0.481,0,0,0,0,0,0
0.527,0,0,0,0,0,0
0.543,0,0,0,0,0,0
0.554,0,0,0,0,0,0
0.563,0,0,0,0,0,0
0.580,0,0,0,0,0,0
0.597,0,0,0,0,0,0
0.610,0,0,0,0,0,0
0.626,0,0,0,0,0,0
0.642,0,0,0,0,0,0
0.658,0,0,0,0,0,0
0.670,0,0,0,0,0,0
0.683,0,0,0,0,0,0
0.697,0,0,0,0,0,0
0.706,0,0,0,0,0,0
0.721,0,0,0,0,0,0
0.736,0,0,0,0,0,0
0.754,0,0,0,0,0,0
0.761,0,0,0,0,0,0
0.768,0,0,0,0,0,0
0.784,0,0,0,0,0,0
0.800,0,0,0,0,0,0
0.805,0,0,0,0,0,0
0.834,0,0,0,0,0,0
0.849,0,0,0,0,0,0
0.863,0,0,0,0,0,0
0.879,0,0,0,0,0,0
0.885,0,0,0,0,0,0
0.911,0,0,0,0,0,0
0.927,0,0,0,0,0,0
0.943,0,0,0,0,0,0
0.959,0,0,0,0,0,0
0.975,0,0,0,0,0,0
1.006,0,0,0,0,0,0
1.018,0,0,0,0,0,0
1.041,0,0,0,0,0,0
1.055,0,0,0,0,0,0
1.072,0,0,0,0,0,0
1.087,0,0,0,0,0,0
1.103,0,0,0,0,0,0
1.124,0,0,0,0,0,0
1.148,0,0,0,0,0,0
1.160,0,0,0,0,0,0
1.183,0,0,0,0,0,0
1.199,0,0,0,0,0,0
1.208,0,0,0,0,0,0
1.223,0,0,0,0,0,0
1.239,0,0,0,0,0,0
1.255,0,0,0,0,0,0
1.271,0,0,0,0,0,0
1.287,0,0,0,0,0,0
1.308,0,0,0,0,0,0
1.326,0,0,0,0,0,0
1.350,0,0,0,0,0,0
1.362,0,0,0,0,0,0
1.390,0,0,0,0,0,0
1.405,0,0,0,0,0,0
1.421,0,0,0,0,0,0
1.439,0,0,0,0,0,0
1.457,0,0,0,0,0,0
1.468,0,0,0,0,0,0
1.487,0,0,0,0,0,0
1.501,0,0,0,0,0,0
1.508,0,0,0,0,0,0
1.525,0,0,0,0,0,0
1.540,0,0,0,0,0,0
1.555,0,0,0,0,0,0
1.571,0,0,0,0,0,0
1.587,0,0,0,0,0,0
1.602,0,0,0,0,0,0
1.627,0,0,0,0,0,0
1.646,0,0,0,0,0,0
1.657,0,0,0,0,0,0
1.672,0,0,0,0,0,0
1.688,0,0,0,0,0,0
1.705,0,0,0,0,0,0
