t_rel,lr,fb,ud,yaw,height_cm,yaw_deg
0.165,0,0,0,0,0,0
0.281,0,0,0,0,0,0
0.298,0,0,0,0,0,0
0.315,0,0,0,0,0,0
0.330,0,0,0,0,0,0
0.346,0,0,0,0,0,0
0.361,0,0,0,0,0,0
0.377,0,0,0,0,0,0
0.393,0,0,0,0,0,0
0.409,0,0,0,0,0,0
0.426,0,0,0,0,0,0
0.440,0,0,0,0,0,0
0.456,0,0,0,0,0,0
0.472,0,0,0,0,0,0
0.488,0,0,0,0,0,0
0.497,0,0,0,0,0,0
0.512,0,0,0,0,0,0
0.528,0,0,0,0,0,0
0.544,0,0,0,0,0,0
0.560,0,0,0,0,0,0
0.576,0,0,0,0,0,0
0.591,0,0,0,0,0,0
0.607,0,0,0,0,0,0
0.622,0,0,0,0,0,0
0.638,0,0,0,0,0,0
0.646,0,0,0,0,0,0
0.663,0,0,0,0,0,0
0.678,0,0,0,0,0,0
0.694,0,0,0,0,0,0
0.710,0,0,0,0,0,0
0.726,0,0,0,0,0,0
0.742,0,0,0,0,0,0
0.759,0,0,0,0,0,0
0.776,0,0,0,0,0,0
0.782,0,0,0,0,0,0
0.797,0,0,0,0,0,0
0.814,0,0,0,0,0,0
0.830,0,0,0,0,0,0
0.845,0,0,0,0,0,0
0.862,0,0,0,0,0,0
0.877,0,0,0,0,0,0
0.893,0,0,0,0,0,0
0.909,0,0,0,0,0,0
0.925,0,0,0,0,0,0
0.941,0,0,0,0,0,0
0.959,0,0,0,0,0,0
0.975,0,0,0,0,0,0
0.989,0,0,0,0,0,0
1.005,0,0,0,0,0,0
1.021,0,0,0,0,0,0
1.030,0,0,0,0,0,0
1.047,0,0,0,0,0,0
1.062,0,0,0,0,0,0
1.078,0,0,0,0,0,0
1.094,0,0,0,0,0,0
1.110,0,0,0,0,0,0
1.125,0,0,0,0,0,0
1.141,0,0,0,0,0,0
1.157,0,0,0,0,0,0
1.173,0,0,0,0,0,0
1.190,0,0,0,0,0,0
1.205,0,0,0,0,0,0
1.214,0,0,0,0,0,0
1.230,0,0,0,0,0,0
1.245,0,0,0,0,0,0
1.263,0,0,0,0,0,0
1.281,0,0,0,0,0,0
1.293,0,0,0,0,0,0
1.309,0,0,0,0,0,0
1.325,0,0,0,0,0,0
1.341,0,0,0,0,0,0
1.357,0,0,0,0,0,0
1.374,0,0,0,0,0,0
1.391,0,0,0,0,0,0
1.422,0,0,0,0,0,0
1.447,0,0,0,0,0,0
1.462,0,0,0,0,0,0
1.467,0,0,0,0,0,0
1.479,0,0,0,0,0,0
1.494,0,0,0,0,0,0
1.510,0,0,0,0,0,0
1.525,0,0,0,0,0,0
1.541,0,0,0,0,0,0
1.557,0,0,0,0,0,0
1.574,0,0,0,0,0,0
1.584,0,0,0,0,0,0
1.597,0,0,0,0,0,0
1.613,0,0,0,0,0,0
1.630,0,0,0,0,0,0
1.641,0,0,0,0,0,0
1.662,0,0,0,0,0,0
1.679,0,0,0,0,0,0
1.694,0,0,0,0,0,0
1.713,0,0,0,0,0,0
1.726,0,0,0,0,0,0
1.742,0,0,0,0,0,0
1.758,0,0,0,0,0,0
1.774,0,0,0,0,0,0
1.790,0,0,0,0,0,0
1.806,0,0,0,0,0,0
1.822,0,0,0,0,0,0
1.830,0,0,0,0,0,0
1.846,0,0,0,0,0,0
1.861,0,0,0,0,0,0
1.878,0,0,0,0,0,0
1.894,0,0,0,0,0,0
1.909,0,0,0,0,0,0
1.926,0,0,0,0,0,0
1.957,0,0,0,0,0,0
1.973,0,0,0,0,0,0
1.989,0,0,0,0,0,0
2.006,0,0,0,0,0,0
2.022,0,0,0,0,0,0
2.031,0,0,0,0,0,0
2.046,0,0,0,0,0,0
2.063,0,0,0,0,0,0
2.078,0,0,0,0,0,0
2.094,0,0,0,0,0,0
2.110,0,0,0,0,0,0
2.126,0,0,0,0,0,0
2.142,0,0,0,0,0,0
2.158,0,0,0,0,0,0
2.174,0,0,0,0,0,0
2.190,0,0,0,0,0,0
2.206,0,0,0,0,0,0
2.222,0,0,0,0,0,0
2.229,0,0,0,0,0,0
2.246,0,0,0,0,0,0
2.262,0,0,0,0,0,0
2.294,0,0,0,0,0,0
2.310,0,0,0,0,0,0
2.326,0,0,0,0,0,0
2.343,0,0,0,0,0,0
2.359,0,0,0,0,0,0
2.375,0,0,0,0,0,0
2.392,0,0,0,0,0,0
2.406,0,0,0,0,0,0
2.422,0,0,0,0,0,0
