tag,slice,n,found,recall,recall_any_class
M_fasterrcnn_baseline_s123,size:<12,993,72,0.0725,0.0745
M_fasterrcnn_baseline_s123,size:12-20,1150,784,0.6817,0.6843
M_fasterrcnn_baseline_s123,size:20-32,1747,1608,0.9204,0.9204
M_fasterrcnn_baseline_s123,size:32+,277,271,0.9783,0.9783
M_fasterrcnn_baseline_s123,occ:OCCLUDED,395,311,0.7873,
M_fasterrcnn_baseline_s123,occ:LIGHT,47,39,0.8298,
M_fasterrcnn_baseline_s123,occ:BYPASSED,239,238,0.9958,
M_fasterrcnn_baseline_s123,occ:AMBIGUOUS,500,421,0.8420,
M_fasterrcnn_baseline_s123,class:rc_car,2329,1557,0.6685,
M_fasterrcnn_baseline_s123,class:atv_sherp,927,524,0.5653,
M_fasterrcnn_baseline_s123,class:truck_peterbilt,911,654,0.7179,
M_fasterrcnn_baseline_s123,pred_budget,2659,4053,1.5243,0.25
M_fasterrcnn_baseline_s123,halluc_fullyocc,159,70,0.4403,0.25
