tag,slice,n,found,recall,recall_any_class
M4_yolov8n-p2_augmented_s123,size:<12,993,91,0.0916,0.0926
M4_yolov8n-p2_augmented_s123,size:12-20,1149,772,0.6719,0.6728
M4_yolov8n-p2_augmented_s123,size:20-32,1748,1638,0.9371,0.9371
M4_yolov8n-p2_augmented_s123,size:32+,277,271,0.9783,0.9783
M4_yolov8n-p2_augmented_s123,occ:OCCLUDED,395,357,0.9038,
M4_yolov8n-p2_augmented_s123,occ:LIGHT,47,35,0.7447,
M4_yolov8n-p2_augmented_s123,occ:BYPASSED,239,237,0.9916,
M4_yolov8n-p2_augmented_s123,occ:AMBIGUOUS,500,437,0.8740,
M4_yolov8n-p2_augmented_s123,class:rc_car,2329,1704,0.7316,
M4_yolov8n-p2_augmented_s123,class:atv_sherp,927,565,0.6095,
M4_yolov8n-p2_augmented_s123,class:truck_peterbilt,911,503,0.5521,
M4_yolov8n-p2_augmented_s123,pred_budget,2659,3399,1.2783,0.25
M4_yolov8n-p2_augmented_s123,halluc_fullyocc,159,19,0.1195,0.25
M4_yolov8n-p2_augmented_s123_tiled2,size:<12,993,108,0.1088,0.1088
M4_yolov8n-p2_augmented_s123_tiled2,size:12-20,1149,754,0.6562,0.6562
M4_yolov8n-p2_augmented_s123_tiled2,size:20-32,1748,1626,0.9302,0.9302
M4_yolov8n-p2_augmented_s123_tiled2,size:32+,277,262,0.9458,0.9458
M4_yolov8n-p2_augmented_s123_tiled2,pred_budget,2659,3388,1.2742,0.25
M4_yolov8n-p2_augmented_s123_tiled2,halluc_fullyocc,159,15,0.0943,0.25
