image,flight,target,realised,match_dist,yaw_deg,verdict,reason
S2_PAIR_occ25_f000000.jpg,S2_PAIR_occ25,rc_car,,19.09,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000008.jpg,S2_PAIR_occ25,rc_car,,19.11,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000016.jpg,S2_PAIR_occ25,rc_car,,19.09,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000024.jpg,S2_PAIR_occ25,rc_car,,19.09,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000032.jpg,S2_PAIR_occ25,rc_car,,19.12,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000040.jpg,S2_PAIR_occ25,rc_car,,19.15,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000048.jpg,S2_PAIR_occ25,rc_car,,19.17,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000056.jpg,S2_PAIR_occ25,rc_car,,19.20,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000064.jpg,S2_PAIR_occ25,rc_car,,19.10,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000072.jpg,S2_PAIR_occ25,rc_car,,19.11,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000080.jpg,S2_PAIR_occ25,rc_car,,19.11,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000088.jpg,S2_PAIR_occ25,rc_car,,19.11,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000096.jpg,S2_PAIR_occ25,rc_car,,15.19,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000104.jpg,S2_PAIR_occ25,rc_car,,17.37,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000112.jpg,S2_PAIR_occ25,rc_car,,21.08,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000120.jpg,S2_PAIR_occ25,rc_car,,22.89,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000128.jpg,S2_PAIR_occ25,rc_car,,20.84,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000136.jpg,S2_PAIR_occ25,rc_car,,20.89,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000144.jpg,S2_PAIR_occ25,rc_car,,20.34,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000152.jpg,S2_PAIR_occ25,rc_car,,20.40,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000160.jpg,S2_PAIR_occ25,rc_car,,20.32,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000168.jpg,S2_PAIR_occ25,rc_car,,20.32,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000176.jpg,S2_PAIR_occ25,rc_car,,20.32,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000184.jpg,S2_PAIR_occ25,rc_car,,19.64,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000192.jpg,S2_PAIR_occ25,rc_car,,19.26,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000200.jpg,S2_PAIR_occ25,rc_car,,18.88,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000208.jpg,S2_PAIR_occ25,rc_car,,18.81,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000216.jpg,S2_PAIR_occ25,rc_car,,19.31,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000224.jpg,S2_PAIR_occ25,rc_car,,19.20,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000232.jpg,S2_PAIR_occ25,rc_car,,19.15,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000240.jpg,S2_PAIR_occ25,rc_car,,19.03,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000248.jpg,S2_PAIR_occ25,rc_car,,18.57,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000256.jpg,S2_PAIR_occ25,rc_car,,18.11,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000264.jpg,S2_PAIR_occ25,rc_car,,17.90,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000272.jpg,S2_PAIR_occ25,rc_car,,17.61,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000280.jpg,S2_PAIR_occ25,rc_car,,17.51,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000288.jpg,S2_PAIR_occ25,rc_car,,17.40,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000296.jpg,S2_PAIR_occ25,rc_car,,17.44,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000304.jpg,S2_PAIR_occ25,rc_car,,17.42,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000312.jpg,S2_PAIR_occ25,rc_car,,17.39,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000320.jpg,S2_PAIR_occ25,rc_car,,17.43,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000328.jpg,S2_PAIR_occ25,rc_car,,17.50,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000336.jpg,S2_PAIR_occ25,rc_car,,17.48,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000344.jpg,S2_PAIR_occ25,rc_car,,17.47,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000352.jpg,S2_PAIR_occ25,rc_car,,17.44,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000360.jpg,S2_PAIR_occ25,rc_car,,17.49,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000368.jpg,S2_PAIR_occ25,rc_car,,17.47,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000376.jpg,S2_PAIR_occ25,rc_car,,17.50,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000384.jpg,S2_PAIR_occ25,rc_car,,17.55,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000392.jpg,S2_PAIR_occ25,rc_car,,17.52,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000400.jpg,S2_PAIR_occ25,rc_car,,17.53,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000408.jpg,S2_PAIR_occ25,rc_car,,17.53,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000416.jpg,S2_PAIR_occ25,rc_car,,17.65,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000424.jpg,S2_PAIR_occ25,rc_car,,17.62,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000432.jpg,S2_PAIR_occ25,rc_car,,17.58,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000440.jpg,S2_PAIR_occ25,rc_car,,17.57,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000448.jpg,S2_PAIR_occ25,rc_car,,17.53,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000456.jpg,S2_PAIR_occ25,rc_car,,17.51,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000464.jpg,S2_PAIR_occ25,rc_car,,17.45,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000472.jpg,S2_PAIR_occ25,rc_car,,17.42,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000480.jpg,S2_PAIR_occ25,rc_car,,17.40,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000488.jpg,S2_PAIR_occ25,rc_car,,17.44,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000496.jpg,S2_PAIR_occ25,rc_car,,17.49,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000504.jpg,S2_PAIR_occ25,rc_car,,17.52,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000512.jpg,S2_PAIR_occ25,rc_car,,17.48,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000520.jpg,S2_PAIR_occ25,rc_car,,17.44,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000528.jpg,S2_PAIR_occ25,rc_car,,17.48,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000536.jpg,S2_PAIR_occ25,rc_car,,17.48,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000544.jpg,S2_PAIR_occ25,rc_car,,17.28,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000552.jpg,S2_PAIR_occ25,rc_car,,17.04,6.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000560.jpg,S2_PAIR_occ25,rc_car,,16.58,7.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000568.jpg,S2_PAIR_occ25,rc_car,,18.14,9.0,AMBIGUOUS,no viewpoint-matched clean frame
S2_PAIR_occ25_f000576.jpg,S2_PAIR_occ25,rc_car,0.3990,5.38,15.0,OCCLUDED,above floor p75
S2_PAIR_occ25_f000584.jpg,S2_PAIR_occ25,rc_car,0.2649,8.01,25.0,LIGHT,"frontal, below the confident floor - light occlusion"
S2_PAIR_occ25_f000592.jpg,S2_PAIR_occ25,rc_car,0.3464,7.34,26.0,OCCLUDED,above floor p75
S2_PAIR_occ25_f000600.jpg,S2_PAIR_occ25,rc_car,0.3486,7.61,26.0,OCCLUDED,above floor p75
S2_PAIR_occ25_f000608.jpg,S2_PAIR_occ25,rc_car,0.3029,7.93,26.0,LIGHT,"frontal, below the confident floor - light occlusion"
S2_PAIR_occ25_f000616.jpg,S2_PAIR_occ25,rc_car,0.3987,7.83,26.0,OCCLUDED,above floor p75
S2_PAIR_occ25_f000624.jpg,S2_PAIR_occ25,rc_car,0.1373,7.70,26.0,LIGHT,"frontal, below the confident floor - light occlusion"
S2_PAIR_occ25_f000632.jpg,S2_PAIR_occ25,rc_car,0.2398,7.62,26.0,LIGHT,"frontal, below the confident floor - light occlusion"
S2_PAIR_occ25_f000640.jpg,S2_PAIR_occ25,rc_car,0.2833,7.44,26.0,LIGHT,"frontal, below the confident floor - light occlusion"
S2_PAIR_occ25_f000648.jpg,S2_PAIR_occ25,rc_car,0.1346,8.23,26.0,LIGHT,"frontal, below the confident floor - light occlusion"
S2_PAIR_occ25_f000656.jpg,S2_PAIR_occ25,rc_car,0.0000,8.03,26.0,LIGHT,"frontal, below the confident floor - light occlusion"
S2_PAIR_occ25_f000664.jpg,S2_PAIR_occ25,rc_car,0.0000,7.91,26.0,LIGHT,"frontal, below the confident floor - light occlusion"
S2_PAIR_occ25_f000672.jpg,S2_PAIR_occ25,rc_car,0.0000,7.74,27.0,LIGHT,"frontal, below the confident floor - light occlusion"
S2_PAIR_occ25_f000680.jpg,S2_PAIR_occ25,rc_car,0.0000,7.55,32.0,LIGHT,"frontal, below the confident floor - light occlusion"
