study,model,preset,seed,imgsz,batch,epochs,train_frames,test_frames,train_min,gpu,slice,n,mAP50,mAP50_95,precision,recall
M,yolov8n-cbam,baseline,123,1280,24,100,10153,2659,149.0,NVIDIA A40,ALL,,0.6457,0.4218,0.8698,0.6051
M,yolov8n-cbam,baseline,123,1280,24,100,10153,2659,149.0,NVIDIA A40,class:rc_car,,0.7042,0.4408,,
M,yolov8n-cbam,baseline,123,1280,24,100,10153,2659,149.0,NVIDIA A40,class:atv_sherp,,0.5835,0.4047,,
M,yolov8n-cbam,baseline,123,1280,24,100,10153,2659,149.0,NVIDIA A40,class:truck_peterbilt,,0.6493,0.4200,,
M,yolov8n-cbam,baseline,123,1280,24,100,10153,2659,149.0,NVIDIA A40,size_band:12-20,1149,,,,
M,yolov8n-cbam,baseline,123,1280,24,100,10153,2659,149.0,NVIDIA A40,size_band:20-32,1748,,,,
M,yolov8n-cbam,baseline,123,1280,24,100,10153,2659,149.0,NVIDIA A40,size_band:32+,277,,,,
M,yolov8n-cbam,baseline,123,1280,24,100,10153,2659,149.0,NVIDIA A40,size_band:<12,993,,,,
M,yolov8n-cbam,baseline,42,1280,24,100,10153,2659,196.8,NVIDIA A40,ALL,,0.6458,0.4237,0.8573,0.5988
M,yolov8n-cbam,baseline,42,1280,24,100,10153,2659,196.8,NVIDIA A40,class:rc_car,,0.6986,0.4306,,
M,yolov8n-cbam,baseline,42,1280,24,100,10153,2659,196.8,NVIDIA A40,class:atv_sherp,,0.5769,0.4001,,
M,yolov8n-cbam,baseline,42,1280,24,100,10153,2659,196.8,NVIDIA A40,class:truck_peterbilt,,0.6619,0.4405,,
M,yolov8n-cbam,baseline,42,1280,24,100,10153,2659,196.8,NVIDIA A40,size_band:12-20,1149,,,,
M,yolov8n-cbam,baseline,42,1280,24,100,10153,2659,196.8,NVIDIA A40,size_band:20-32,1748,,,,
M,yolov8n-cbam,baseline,42,1280,24,100,10153,2659,196.8,NVIDIA A40,size_band:32+,277,,,,
M,yolov8n-cbam,baseline,42,1280,24,100,10153,2659,196.8,NVIDIA A40,size_band:<12,993,,,,
M,yolov8n-cbam,baseline,456,1280,24,100,10153,2659,200.1,NVIDIA A40,ALL,,0.6452,0.4223,0.8923,0.5836
M,yolov8n-cbam,baseline,456,1280,24,100,10153,2659,200.1,NVIDIA A40,class:rc_car,,0.7013,0.4480,,
M,yolov8n-cbam,baseline,456,1280,24,100,10153,2659,200.1,NVIDIA A40,class:atv_sherp,,0.5896,0.3962,,
M,yolov8n-cbam,baseline,456,1280,24,100,10153,2659,200.1,NVIDIA A40,class:truck_peterbilt,,0.6446,0.4226,,
M,yolov8n-cbam,baseline,456,1280,24,100,10153,2659,200.1,NVIDIA A40,size_band:12-20,1149,,,,
M,yolov8n-cbam,baseline,456,1280,24,100,10153,2659,200.1,NVIDIA A40,size_band:20-32,1748,,,,
M,yolov8n-cbam,baseline,456,1280,24,100,10153,2659,200.1,NVIDIA A40,size_band:32+,277,,,,
M,yolov8n-cbam,baseline,456,1280,24,100,10153,2659,200.1,NVIDIA A40,size_band:<12,993,,,,
M,yolov8n-p2-cbam,baseline,123,1280,24,100,10153,2659,391.2,NVIDIA A40,ALL,,0.6964,0.4419,0.8821,0.6208
M,yolov8n-p2-cbam,baseline,123,1280,24,100,10153,2659,391.2,NVIDIA A40,class:rc_car,,0.7280,0.4550,,
M,yolov8n-p2-cbam,baseline,123,1280,24,100,10153,2659,391.2,NVIDIA A40,class:atv_sherp,,0.7068,0.4337,,
M,yolov8n-p2-cbam,baseline,123,1280,24,100,10153,2659,391.2,NVIDIA A40,class:truck_peterbilt,,0.6543,0.4370,,
M,yolov8n-p2-cbam,baseline,123,1280,24,100,10153,2659,391.2,NVIDIA A40,size_band:12-20,1149,,,,
M,yolov8n-p2-cbam,baseline,123,1280,24,100,10153,2659,391.2,NVIDIA A40,size_band:20-32,1748,,,,
M,yolov8n-p2-cbam,baseline,123,1280,24,100,10153,2659,391.2,NVIDIA A40,size_band:32+,277,,,,
M,yolov8n-p2-cbam,baseline,123,1280,24,100,10153,2659,391.2,NVIDIA A40,size_band:<12,993,,,,
M,yolov8n-p2-cbam,baseline,42,1280,24,100,10153,2659,316.2,NVIDIA A40,ALL,,0.6802,0.4444,0.8961,0.6132
M,yolov8n-p2-cbam,baseline,42,1280,24,100,10153,2659,316.2,NVIDIA A40,class:rc_car,,0.7259,0.4563,,
M,yolov8n-p2-cbam,baseline,42,1280,24,100,10153,2659,316.2,NVIDIA A40,class:atv_sherp,,0.6356,0.4219,,
M,yolov8n-p2-cbam,baseline,42,1280,24,100,10153,2659,316.2,NVIDIA A40,class:truck_peterbilt,,0.6790,0.4551,,
M,yolov8n-p2-cbam,baseline,42,1280,24,100,10153,2659,316.2,NVIDIA A40,size_band:12-20,1149,,,,
M,yolov8n-p2-cbam,baseline,42,1280,24,100,10153,2659,316.2,NVIDIA A40,size_band:20-32,1748,,,,
M,yolov8n-p2-cbam,baseline,42,1280,24,100,10153,2659,316.2,NVIDIA A40,size_band:32+,277,,,,
M,yolov8n-p2-cbam,baseline,42,1280,24,100,10153,2659,316.2,NVIDIA A40,size_band:<12,993,,,,
M,yolov8n-p2-cbam,baseline,456,1280,24,100,10153,2659,305.4,NVIDIA A40,ALL,,0.6772,0.4542,0.8658,0.6129
M,yolov8n-p2-cbam,baseline,456,1280,24,100,10153,2659,305.4,NVIDIA A40,class:rc_car,,0.7458,0.4584,,
M,yolov8n-p2-cbam,baseline,456,1280,24,100,10153,2659,305.4,NVIDIA A40,class:atv_sherp,,0.6026,0.4132,,
M,yolov8n-p2-cbam,baseline,456,1280,24,100,10153,2659,305.4,NVIDIA A40,class:truck_peterbilt,,0.6832,0.4909,,
M,yolov8n-p2-cbam,baseline,456,1280,24,100,10153,2659,305.4,NVIDIA A40,size_band:12-20,1149,,,,
M,yolov8n-p2-cbam,baseline,456,1280,24,100,10153,2659,305.4,NVIDIA A40,size_band:20-32,1748,,,,
M,yolov8n-p2-cbam,baseline,456,1280,24,100,10153,2659,305.4,NVIDIA A40,size_band:32+,277,,,,
M,yolov8n-p2-cbam,baseline,456,1280,24,100,10153,2659,305.4,NVIDIA A40,size_band:<12,993,,,,
M,yolov8n-p2,baseline,123,1280,24,100,10153,2659,236.1,NVIDIA A40,ALL,,0.6932,0.4424,0.9060,0.6167
M,yolov8n-p2,baseline,123,1280,24,100,10153,2659,236.1,NVIDIA A40,class:rc_car,,0.7290,0.4424,,
M,yolov8n-p2,baseline,123,1280,24,100,10153,2659,236.1,NVIDIA A40,class:atv_sherp,,0.6559,0.4174,,
M,yolov8n-p2,baseline,123,1280,24,100,10153,2659,236.1,NVIDIA A40,class:truck_peterbilt,,0.6947,0.4674,,
M,yolov8n-p2,baseline,123,1280,24,100,10153,2659,236.1,NVIDIA A40,size_band:12-20,1149,,,,
M,yolov8n-p2,baseline,123,1280,24,100,10153,2659,236.1,NVIDIA A40,size_band:20-32,1748,,,,
M,yolov8n-p2,baseline,123,1280,24,100,10153,2659,236.1,NVIDIA A40,size_band:32+,277,,,,
