image,flight_key,frame_idx,n_boxes,classes,quality_flag,manifest_quality,capture_class,height_cm,occ_deployed_pct
S4_sizesweep_a_f000000.jpg,S4_sizesweep_a,0,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,0,
S4_sizesweep_a_f000010.jpg,S4_sizesweep_a,10,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,0,
S4_sizesweep_a_f000018.jpg,S4_sizesweep_a,18,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,0,
S4_sizesweep_a_f000026.jpg,S4_sizesweep_a,26,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,0,
S4_sizesweep_a_f000033.jpg,S4_sizesweep_a,33,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,0,
S4_sizesweep_a_f000040.jpg,S4_sizesweep_a,40,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,0,
S4_sizesweep_a_f000047.jpg,S4_sizesweep_a,47,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,0,
S4_sizesweep_a_f000053.jpg,S4_sizesweep_a,53,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,0,
S4_sizesweep_a_f000060.jpg,S4_sizesweep_a,60,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,0,
S4_sizesweep_a_f000067.jpg,S4_sizesweep_a,67,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,0,
S4_sizesweep_a_f000075.jpg,S4_sizesweep_a,75,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,0,
S4_sizesweep_a_f000083.jpg,S4_sizesweep_a,83,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,0,
S4_sizesweep_a_f000092.jpg,S4_sizesweep_a,92,3,atv_sherp+rc_car+truck_peterbilt,ok,blurry,benchmark,0,
S4_sizesweep_a_f000101.jpg,S4_sizesweep_a,101,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,20,
S4_sizesweep_a_f000111.jpg,S4_sizesweep_a,111,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,40,
S4_sizesweep_a_f000119.jpg,S4_sizesweep_a,119,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,60,
S4_sizesweep_a_f000128.jpg,S4_sizesweep_a,128,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,70,
S4_sizesweep_a_f000137.jpg,S4_sizesweep_a,137,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,70,
S4_sizesweep_a_f000146.jpg,S4_sizesweep_a,146,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,70,
S4_sizesweep_a_f000154.jpg,S4_sizesweep_a,154,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,70,
S4_sizesweep_a_f000162.jpg,S4_sizesweep_a,162,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,70,
S4_sizesweep_a_f000171.jpg,S4_sizesweep_a,171,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,70,
S4_sizesweep_a_f000180.jpg,S4_sizesweep_a,180,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,70,
S4_sizesweep_a_f000189.jpg,S4_sizesweep_a,189,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,70,
S4_sizesweep_a_f000197.jpg,S4_sizesweep_a,197,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,70,
S4_sizesweep_a_f000206.jpg,S4_sizesweep_a,206,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,80,
S4_sizesweep_a_f000214.jpg,S4_sizesweep_a,214,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,90,
S4_sizesweep_a_f000223.jpg,S4_sizesweep_a,223,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,100,
S4_sizesweep_a_f000233.jpg,S4_sizesweep_a,233,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,100,
S4_sizesweep_a_f000242.jpg,S4_sizesweep_a,242,3,atv_sherp+rc_car+truck_peterbilt,ok,ok,benchmark,110,
