image,flight,role,run_len,run_start,run_end
S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000868.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000875.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000882.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000889.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000896.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000903.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000910.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000917.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000924.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000931.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000938.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000945.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000952.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000959.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000966.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000973.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000980.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000987.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f000994.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001001.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001008.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001015.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001022.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001029.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001036.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001043.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001050.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001057.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001064.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001071.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001078.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001092.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001099.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001106.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001113.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001120.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001127.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001134.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001141.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001148.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001155.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001162.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001169.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001176.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001183.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001190.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001197.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001204.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001211.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001218.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001225.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001232.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001239.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001246.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001253.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001260.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001267.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001274.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001281.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001288.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001295.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001302.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001309.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
S1_futsal_C3clean_20260725_083013_f001316.jpg,S1_futsal_C3clean_20260725_083013,C2_natural_occ,72,S1_futsal_C3clean_20260725_083013_f000861.jpg,S1_futsal_C3clean_20260725_083013_f001365.jpg
